X,WhelkID,Date,Cage,Size,Prey,PreySize,DrillSide,ShellBroke
1,EC0101,6/16/2015,EC01,15,START,NA,NA,N
2,EC0101,6/18/2015,EC01,15,NF,NA,NA,N
3,EC0101,6/23/2015,EC01,15,NF,NA,NA,N
4,EC0101,6/30/2015,EC01,15,NF,NA,NA,N
5,EC0101,7/3/2015,EC01,15,NF,NA,NA,N
6,EC0101,7/7/2015,EC01,15,NF,NA,NA,N
7,EC0101,7/10/2015,EC01,15,Bg,4,N,N
8,EC0101,7/12/2015,EC01,15,NF,NA,NA,N
9,EC0101,7/16/2015,EC01,15,NF,NA,NA,N
10,EC0101,7/20/2015,EC01,15,NF,NA,NA,N
11,EC0101,7/27/2015,EC01,15,Mt,8,N,N
12,EC0101,7/29/2015,EC01,15,NF,NA,NA,N
13,EC0101,7/31/2015,EC01,14.6,NF,NA,NA,N
14,EC0101,8/3/2015,EC01,14.6,NF,NA,NA,N
15,EC0101,8/4/2015,EC01,14.6,NF,NA,NA,N
16,EC0101,8/8/2015,EC01,14.6,NF,NA,NA,N
17,EC0101,8/10/2015,EC01,14.6,NF,NA,NA,N
18,EC0101,8/13/2015,EC01,14.9,NF,NA,NA,N
19,EC0101,8/14/2015,EC01,14.9,NF,NA,NA,N
20,EC0101,8/16/2015,EC01,14.9,NF,NA,NA,N
21,EC0101,8/18/2015,EC01,14.9,NF,NA,NA,N
22,EC0101,8/29/2015,EC01,14.7,NF,NA,NA,N
23,EC0101,8/31/2015,EC01,14.7,Bg,1,N,N
24,EC0101,9/1/2015,EC01,14.7,NF,NA,NA,N
25,EC0101,9/2/2015,EC01,14.7,NF,NA,NA,N
26,EC0101,9/3/2015,EC01,14.7,NF,NA,NA,N
27,EC0101,9/4/2015,EC01,14.7,NF,NA,NA,N
28,EC0101,9/5/2015,EC01,14.7,Bg,2,N,N
29,EC0101,9/6/2015,EC01,14.7,NF,NA,NA,N
30,EC0101,9/8/2015,EC01,14.7,NF,NA,NA,N
31,EC0101,9/9/2015,EC01,14.7,NF,NA,NA,N
32,EC0101,9/12/2015,EC01,14.8,NF,NA,NA,N
33,EC0101,9/15/2015,EC01,14.8,NF,NA,NA,N
34,EC0101,9/16/2015,EC01,14.8,NF,NA,NA,N
35,EC0101,9/17/2015,EC01,14.8,NF,NA,NA,N
36,EC0101,9/18/2015,EC01,14.8,NF,NA,NA,N
37,EC0101,9/19/2015,EC01,14.8,NF,NA,NA,N
38,EC0101,9/21/2015,EC01,14.8,NF,NA,NA,N
39,EC0101,9/26/2015,EC01,14.7,NF,NA,NA,N
40,EC0101,9/28/2015,EC01,14.7,NF,NA,NA,N
41,EC0101,9/29/2015,EC01,14.7,NF,NA,NA,N
42,EC0101,9/30/2015,EC01,14.7,NF,NA,NA,N
43,EC0102,6/16/2015,EC01,15.9,START,NA,NA,N
44,EC0102,6/18/2015,EC01,15.9,NF,NA,NA,N
45,EC0102,6/23/2015,EC01,15.9,NF,NA,NA,N
46,EC0102,6/30/2015,EC01,15.9,Mt,7,N,N
47,EC0102,7/3/2015,EC01,15.9,NF,NA,NA,N
48,EC0102,7/7/2015,EC01,15.9,NF,NA,NA,N
49,EC0102,7/10/2015,EC01,15.9,NF,NA,NA,N
50,EC0102,7/12/2015,EC01,15.9,Bg,3,N,N
51,EC0102,7/16/2015,EC01,15.9,NF,NA,NA,N
52,EC0102,7/20/2015,EC01,15.9,NF,NA,NA,N
53,EC0102,7/27/2015,EC01,15.9,NF,NA,NA,N
54,EC0102,7/29/2015,EC01,15.9,NF,NA,NA,N
55,EC0102,7/31/2015,EC01,15.2,NF,NA,N,N
56,EC0102,8/3/2015,EC01,15.2,NF,NA,NA,N
57,EC0102,8/4/2015,EC01,15.2,NF,NA,NA,N
58,EC0102,8/8/2015,EC01,15.2,NF,NA,NA,N
59,EC0102,8/10/2015,EC01,15.2,NF,NA,NA,N
60,EC0102,8/13/2015,EC01,15.5,NF,NA,NA,N
61,EC0102,8/14/2015,EC01,15.5,NF,NA,NA,N
62,EC0102,8/16/2015,EC01,15.5,NF,NA,NA,N
63,EC0102,8/18/2015,EC01,15.5,NF,NA,NA,N
64,EC0102,8/29/2015,EC01,15.4,Mt,12,N,N
65,EC0102,8/31/2015,EC01,15.4,NF,NA,NA,N
66,EC0102,9/1/2015,EC01,15.4,Bg,1,N,N
67,EC0102,9/2/2015,EC01,15.4,NF,NA,NA,N
68,EC0102,9/3/2015,EC01,15.4,NF,NA,NA,N
69,EC0102,9/4/2015,EC01,15.4,NF,NA,NA,N
70,EC0102,9/5/2015,EC01,15.4,NF,NA,NA,N
71,EC0102,9/6/2015,EC01,15.4,NF,NA,NA,N
72,EC0102,9/8/2015,EC01,15.4,NF,NA,NA,N
73,EC0102,9/9/2015,EC01,15.4,NF,NA,NA,N
74,EC0102,9/12/2015,EC01,15.3,NF,NA,NA,N
75,EC0102,9/15/2015,EC01,15.3,NF,NA,NA,N
76,EC0102,9/16/2015,EC01,15.3,Mt,5,N,N
77,EC0102,9/17/2015,EC01,15.3,NF,NA,NA,N
78,EC0102,9/18/2015,EC01,15.3,NF,NA,NA,N
79,EC0102,9/19/2015,EC01,15.3,NF,NA,NA,N
80,EC0102,9/21/2015,EC01,15.3,NF,NA,NA,N
81,EC0102,9/26/2015,EC01,15.2,NF,NA,NA,N
82,EC0102,9/28/2015,EC01,15.2,NF,NA,NA,N
83,EC0102,9/29/2015,EC01,15.2,NF,NA,NA,N
84,EC0102,9/30/2015,EC01,15.2,NF,NA,NA,N
85,EC0103,6/16/2015,EC01,15.5,START,NA,NA,N
86,EC0103,6/18/2015,EC01,15.5,NF,NA,NA,N
87,EC0103,6/23/2015,EC01,15.5,NF,NA,NA,N
88,EC0103,6/30/2015,EC01,15.5,Mt,15,N,N
89,EC0103,7/3/2015,EC01,15.5,NF,NA,NA,N
90,EC0103,7/7/2015,EC01,15.5,NF,NA,NA,N
91,EC0103,7/10/2015,EC01,15.5,NF,NA,NA,N
92,EC0103,7/12/2015,EC01,15.5,NF,NA,NA,N
93,EC0103,7/16/2015,EC01,15.5,NF,NA,NA,N
94,EC0103,7/20/2015,EC01,15.5,NF,NA,NA,N
95,EC0103,7/27/2015,EC01,15.5,NF,NA,NA,N
96,EC0103,7/29/2015,EC01,15.5,NF,NA,NA,N
97,EC0103,7/31/2015,EC01,15.3,NF,NA,NA,N
98,EC0103,8/3/2015,EC01,15.3,NF,NA,NA,N
99,EC0103,8/4/2015,EC01,15.3,NF,NA,NA,N
100,EC0103,8/8/2015,EC01,15.3,NF,NA,NA,N
101,EC0103,8/10/2015,EC01,15.3,NF,NA,NA,N
102,EC0103,8/13/2015,EC01,15.6,NF,NA,NA,N
103,EC0103,8/14/2015,EC01,15.6,Bg,3,N,N
104,EC0103,8/16/2015,EC01,15.6,NF,NA,NA,N
105,EC0103,8/18/2015,EC01,15.6,NF,NA,NA,N
106,EC0103,8/29/2015,EC01,15.3,Bg,1,N,N
107,EC0103,8/31/2015,EC01,15.3,Bg,1,N,N
108,EC0103,9/1/2015,EC01,15.3,Mt,12,N,N
110,EC0103,9/3/2015,EC01,15.3,NF,NA,NA,N
111,EC0103,9/4/2015,EC01,15.3,NF,NA,NA,N
112,EC0103,9/5/2015,EC01,15.3,NF,NA,NA,N
113,EC0103,9/6/2015,EC01,15.3,NF,NA,NA,N
114,EC0103,9/8/2015,EC01,15.3,NF,NA,NA,N
115,EC0103,9/9/2015,EC01,15.3,NF,NA,NA,N
116,EC0103,9/12/2015,EC01,15.3,NF,NA,NA,N
117,EC0103,9/15/2015,EC01,15.3,NF,NA,NA,N
118,EC0103,9/16/2015,EC01,15.3,NF,NA,NA,N
119,EC0103,9/17/2015,EC01,15.3,NF,NA,NA,N
120,EC0103,9/18/2015,EC01,15.3,NF,NA,NA,N
121,EC0103,9/19/2015,EC01,15.3,NF,NA,NA,N
122,EC0103,9/21/2015,EC01,15.3,NF,NA,NA,N
123,EC0103,9/26/2015,EC01,15.5,NF,NA,NA,N
124,EC0103,9/28/2015,EC01,15.5,NF,NA,NA,N
125,EC0103,9/29/2015,EC01,15.5,NF,NA,NA,N
126,EC0103,9/30/2015,EC01,15.5,NF,NA,NA,N
127,EC0104,6/16/2015,EC01,15.4,START,NA,NA,N
128,EC0104,6/18/2015,EC01,15.4,NF,NA,NA,N
129,EC0104,6/23/2015,EC01,15.4,NF,NA,NA,N
130,EC0104,6/30/2015,EC01,15.4,NF,NA,NA,N
131,EC0104,7/3/2015,EC01,15.4,NF,NA,NA,N
132,EC0104,7/7/2015,EC01,15.4,NF,NA,NA,N
133,EC0104,7/10/2015,EC01,15.4,NF,NA,NA,N
134,EC0104,7/12/2015,EC01,15.4,NF,NA,NA,N
135,EC0104,7/16/2015,EC01,15.4,Bg,2,N,N
136,EC0104,7/20/2015,EC01,15.4,NF,NA,NA,N
137,EC0104,7/27/2015,EC01,15.4,NF,NA,NA,N
138,EC0104,7/29/2015,EC01,15.4,NF,NA,NA,N
139,EC0104,7/31/2015,EC01,15.7,NF,NA,NA,N
140,EC0104,8/3/2015,EC01,15.7,NF,NA,NA,N
141,EC0104,8/4/2015,EC01,15.7,NF,NA,NA,N
142,EC0104,8/8/2015,EC01,15.7,Mt,6,N,N
143,EC0104,8/10/2015,EC01,15.7,NF,NA,NA,N
144,EC0104,8/13/2015,EC01,16.1,NF,NA,NA,N
145,EC0104,8/14/2015,EC01,16.1,NF,NA,NA,N
146,EC0104,8/16/2015,EC01,16.1,NF,NA,NA,N
147,EC0104,8/18/2015,EC01,16.1,NF,NA,NA,N
148,EC0104,8/29/2015,EC01,16,Bg,3,N,N
149,EC0104,8/31/2015,EC01,16,NF,NA,NA,N
150,EC0104,9/1/2015,EC01,16,Bg,1,N,N
151,EC0104,9/2/2015,EC01,16,NF,NA,NA,N
152,EC0104,9/3/2015,EC01,16,NF,NA,NA,N
153,EC0104,9/4/2015,EC01,16,NF,NA,NA,N
154,EC0104,9/5/2015,EC01,16,NF,NA,NA,N
155,EC0104,9/6/2015,EC01,16,NF,NA,NA,N
156,EC0104,9/8/2015,EC01,16,NF,NA,NA,N
157,EC0104,9/9/2015,EC01,16,NF,NA,NA,N
158,EC0104,9/12/2015,EC01,15.9,NF,NA,NA,N
159,EC0104,9/15/2015,EC01,15.9,NF,NA,NA,N
160,EC0104,9/16/2015,EC01,15.9,NF,NA,NA,N
161,EC0104,9/17/2015,EC01,15.9,NF,NA,NA,N
162,EC0104,9/18/2015,EC01,15.9,NF,NA,NA,N
163,EC0104,9/19/2015,EC01,15.9,NF,NA,NA,N
164,EC0104,9/21/2015,EC01,15.9,NF,NA,NA,N
165,EC0104,9/26/2015,EC01,15.5,NF,NA,NA,N
166,EC0104,9/28/2015,EC01,15.5,NF,NA,NA,N
167,EC0104,9/29/2015,EC01,15.5,NF,NA,NA,N
168,EC0104,9/30/2015,EC01,15.5,NF,NA,NA,N
169,EC0105,6/16/2015,EC01,15.4,START,NA,NA,N
170,EC0105,6/18/2015,EC01,15.4,NF,NA,NA,N
171,EC0105,6/23/2015,EC01,15.4,NF,NA,NA,N
172,EC0105,6/30/2015,EC01,15.4,NF,NA,NA,N
173,EC0105,7/3/2015,EC01,15.4,NF,NA,NA,N
174,EC0105,7/7/2015,EC01,15.4,NF,NA,NA,N
175,EC0105,7/10/2015,EC01,15.4,NF,NA,NA,N
176,EC0105,7/12/2015,EC01,15.4,NF,NA,NA,N
177,EC0105,7/16/2015,EC01,15.4,NF,NA,NA,N
178,EC0105,7/20/2015,EC01,15.4,NF,NA,NA,N
179,EC0105,7/27/2015,EC01,15.4,NF,NA,NA,N
180,EC0105,7/29/2015,EC01,15.4,NF,NA,NA,N
181,EC0105,7/31/2015,EC01,15.1,Ct,1,N,N
182,EC0105,8/3/2015,EC01,15.1,NF,NA,NA,N
183,EC0105,8/4/2015,EC01,15.1,NF,NA,NA,N
184,EC0105,8/8/2015,EC01,15.1,NF,NA,NA,N
185,EC0105,8/10/2015,EC01,15.1,NF,NA,NA,N
186,EC0105,8/13/2015,EC01,15.5,Mt,14,Y,N
187,EC0105,8/14/2015,EC01,15.5,NF,NA,NA,N
188,EC0105,8/16/2015,EC01,15.5,NF,NA,NA,N
189,EC0105,8/18/2015,EC01,15.5,NF,NA,NA,N
190,EC0105,8/29/2015,EC01,15.1,Bg,2,N,N
191,EC0105,8/31/2015,EC01,15.1,NF,NA,NA,N
192,EC0105,9/1/2015,EC01,15.1,NF,NA,NA,N
193,EC0105,9/2/2015,EC01,15.1,NF,NA,NA,N
194,EC0105,9/3/2015,EC01,15.1,NF,NA,NA,N
195,EC0105,9/4/2015,EC01,15.1,NF,NA,NA,N
196,EC0105,9/5/2015,EC01,15.1,NF,NA,NA,N
197,EC0105,9/6/2015,EC01,15.1,NF,NA,NA,N
198,EC0105,9/8/2015,EC01,15.1,NF,NA,NA,N
199,EC0105,9/9/2015,EC01,15.1,NF,NA,NA,N
200,EC0105,9/12/2015,EC01,14.9,NF,NA,NA,N
201,EC0105,9/15/2015,EC01,14.9,NF,NA,NA,N
202,EC0105,9/16/2015,EC01,14.9,NF,NA,NA,N
203,EC0105,9/17/2015,EC01,14.9,NF,NA,NA,N
204,EC0105,9/18/2015,EC01,14.9,NF,NA,NA,N
205,EC0105,9/19/2015,EC01,14.9,NF,NA,NA,N
206,EC0105,9/21/2015,EC01,14.9,NF,NA,NA,N
207,EC0105,9/26/2015,EC01,14.9,NF,NA,NA,N
208,EC0105,9/28/2015,EC01,14.9,NF,NA,NA,N
209,EC0105,9/29/2015,EC01,14.9,NF,NA,NA,N
210,EC0105,9/30/2015,EC01,14.9,NF,NA,NA,N
211,EC0106,6/16/2015,EC01,15.9,START,NA,NA,N
212,EC0106,6/18/2015,EC01,15.9,NF,NA,NA,N
213,EC0106,6/23/2015,EC01,15.9,NF,NA,NA,N
214,EC0106,6/30/2015,EC01,15.9,NF,NA,NA,N
215,EC0106,7/3/2015,EC01,15.9,NF,NA,NA,N
216,EC0106,7/7/2015,EC01,15.9,NF,NA,NA,N
217,EC0106,7/10/2015,EC01,15.9,NF,NA,NA,N
218,EC0106,7/12/2015,EC01,15.9,Bg,3,N,N
219,EC0106,7/16/2015,EC01,15.9,NF,NA,NA,N
220,EC0106,7/20/2015,EC01,15.9,NF,NA,NA,N
221,EC0106,7/27/2015,EC01,15.9,NF,NA,NA,N
222,EC0106,7/29/2015,EC01,15.9,NF,NA,NA,N
223,EC0106,7/31/2015,EC01,15.7,Bg,3,N,N
224,EC0106,8/3/2015,EC01,15.7,Bg,2,N,N
225,EC0106,8/4/2015,EC01,15.7,NF,NA,NA,N
226,EC0106,8/8/2015,EC01,15.7,NF,NA,NA,N
227,EC0106,8/10/2015,EC01,15.7,NF,NA,NA,N
228,EC0106,8/13/2015,EC01,15.9,NF,NA,NA,N
229,EC0106,8/14/2015,EC01,15.9,NF,NA,NA,N
230,EC0106,8/16/2015,EC01,15.9,NF,NA,NA,N
231,EC0106,8/18/2015,EC01,15.9,NF,NA,NA,N
232,EC0106,8/29/2015,EC01,15.9,NF,NA,NA,N
233,EC0106,8/31/2015,EC01,15.9,NF,NA,NA,N
234,EC0106,9/1/2015,EC01,15.9,NF,NA,NA,N
235,EC0106,9/2/2015,EC01,15.9,NF,NA,NA,N
236,EC0106,9/3/2015,EC01,15.9,NF,NA,NA,N
237,EC0106,9/4/2015,EC01,15.9,NF,NA,NA,N
238,EC0106,9/5/2015,EC01,15.9,NF,NA,NA,N
239,EC0106,9/6/2015,EC01,15.9,NF,NA,NA,N
240,EC0106,9/8/2015,EC01,15.9,NF,NA,NA,N
241,EC0106,9/9/2015,EC01,15.9,NF,NA,NA,N
242,EC0106,9/12/2015,EC01,15.7,NF,NA,NA,N
243,EC0106,9/15/2015,EC01,15.7,NF,NA,NA,N
244,EC0106,9/16/2015,EC01,15.7,NF,NA,NA,N
245,EC0106,9/17/2015,EC01,15.7,NF,NA,NA,N
246,EC0106,9/18/2015,EC01,15.7,NF,NA,NA,N
247,EC0106,9/19/2015,EC01,15.7,NF,NA,NA,N
248,EC0106,9/21/2015,EC01,15.7,NF,NA,NA,N
249,EC0106,9/26/2015,EC01,15.6,NF,NA,NA,N
250,EC0106,9/28/2015,EC01,15.6,NF,NA,NA,N
251,EC0106,9/29/2015,EC01,15.6,NF,NA,NA,N
252,EC0106,9/30/2015,EC01,15.6,NF,NA,NA,N
253,EC0107,6/16/2015,EC01,14.7,START,NA,NA,N
254,EC0107,6/18/2015,EC01,14.7,NF,NA,NA,N
255,EC0107,6/23/2015,EC01,14.7,NF,NA,NA,N
