,WhelkID,Cage,Bg,Ct,LotP,Mt,NF,START
1,EC0101,EC01,3,0,0,1,37,1
2,EC0102,EC01,2,0,0,3,36,1
3,EC0103,EC01,3,0,0,3,35,1
4,EC0104,EC01,3,0,0,1,37,1
5,EC0105,EC01,1,1,0,1,38,1
6,EC0106,EC01,3,0,0,0,38,1
7,EC0107,EC01,1,0,0,2,38,1
8,EC0108,EC01,3,0,0,3,35,1
9,EC0109,EC01,3,0,0,3,35,1
10,EC0110,EC01,5,0,0,2,34,1
11,EC0111,EC01,3,0,0,3,35,1
12,EC0112,EC01,1,0,0,0,40,1
13,EC0113,EC01,2,0,0,2,37,1
14,EC0114,EC01,2,0,0,3,36,1
15,EC0115,EC01,0,0,0,3,38,1
16,EC0116,EC01,1,0,0,1,17,1
17,EC0116a,EC01,1,0,0,0,20,1
18,EC0117,EC01,1,0,0,2,38,1
19,EC0118,EC01,3,0,0,0,37,1
20,EC0119,EC01,2,0,0,2,37,1
21,EC0120,EC01,2,0,0,2,33,1
22,EC0121,EC01,4,0,0,3,34,1
23,EC0122,EC01,2,0,0,0,38,1
24,EC0123,EC01,0,0,0,4,37,1
25,EC0124,EC01,3,0,0,2,36,1
26,EC0125,EC01,1,0,0,2,38,1
27,EC0126,EC01,2,0,0,2,37,1
28,EC0127,EC01,2,0,0,2,37,1
29,EC0128,EC01,2,0,0,3,36,1
30,EC0129,EC01,2,0,0,1,38,1
31,EC0130,EC01,2,0,0,1,38,1
32,EC0131,EC01,0,0,0,0,3,1
33,EC0201,EC02,4,0,0,0,37,1
34,EC0202,EC02,4,0,0,2,35,1
35,EC0203,EC02,4,0,0,1,36,1
36,EC0204,EC02,0,0,0,0,11,1
37,EC0204a,EC02,4,0,0,0,25,1
38,EC0205,EC02,4,0,0,1,32,1
39,EC0206,EC02,8,0,0,1,32,1
40,EC0207,EC02,11,0,0,1,29,1
41,EC0208,EC02,3,0,0,0,38,1
42,EC0209,EC02,8,0,0,1,32,1
43,EC0210,EC02,1,0,0,1,8,1
44,EC0210a,EC02,4,0,0,0,26,1
45,EC0211,EC02,3,1,0,3,34,1
46,EC0212,EC02,4,0,0,0,37,1
47,EC0213,EC02,4,0,0,1,36,1
48,EC0214,EC02,0,0,0,0,11,1
49,EC0214a,EC02,9,0,0,0,20,1
50,EC0215,EC02,0,0,0,0,20,1
51,EC0215a,EC02,2,0,0,0,18,1
52,EC0216,EC02,5,0,0,2,34,1
53,EC0217,EC02,6,0,0,0,35,1
54,EC0218,EC02,5,0,0,0,35,1
55,EC0219,EC02,3,0,0,1,36,2
56,EC0220,EC02,10,0,0,0,27,1
57,EC0221,EC02,4,0,0,1,36,1
58,EC0222,EC02,4,0,0,4,33,1
59,EC0223,EC02,10,0,0,0,32,1
60,EC0224,EC02,2,0,0,0,11,1
61,EC0224a,EC02,3,0,0,0,24,1
62,EC0225,EC02,5,0,0,1,35,1
63,EC0226,EC02,1,0,0,0,40,1
64,EC0227,EC02,1,0,0,1,34,1
65,EC0227a,EC02,1,0,0,0,3,1
66,EC0228,EC02,7,0,0,0,34,1
67,EC0229,EC02,1,0,0,2,7,1
68,EC0229a,EC02,6,0,0,0,24,1
69,EC0230,EC02,0,0,0,0,2,1
70,EC0230a,EC02,3,0,0,2,33,1
71,EC0231,EC02,0,0,0,0,3,1
72,EC0232,EC02,1,0,0,0,2,1
73,EC0301,EC03,5,0,0,1,34,1
74,EC0302,EC03,3,0,0,4,33,1
75,EC0303,EC03,3,2,0,1,23,1
76,EC0303a,EC03,1,0,0,0,9,1
