Cage,Date,BGland,MytTross
EC01,6.17.15,257,149
EC01,7.30.15,1145,62
EC01,9.1.15,662,53
EC01,Average,688,88
EC01,WtAverage,681.5,79.25
EC02,6.17.15,936,203
EC02,7.30.15,4004,169
EC02,9.1.15,2362,151
EC02,Average,2434,174.3333333
EC02,WtAverage,2416,168.5
EC03,6.17.15,934,268
EC03,7.30.15,2202,215
EC03,9.1.15,1522,126
EC03,Average,1552.666667,203
EC03,WtAverage,1545,183.75
EC04,6.17.15,806,86
EC04,7.30.15,2436,112
EC04,9.1.15,1593,31
EC04,Average,1611.666667,76.33333333
EC04,WtAverage,1607,65
EC05,6.17.15,213,30
EC05,7.30.15,702,21
EC05,9.1.15,441,15
EC05,Average,452,22
EC05,WtAverage,449.25,20.25
EC06,6.17.15,326,145
EC06,7.30.15,867,125
EC06,9.1.15,595,63
EC06,Average,596,111
EC06,WtAverage,595.75,99
EC07,6.17.15,610,195
EC07,7.30.15,2070,113
EC07,9.1.15,1315,103
EC07,Average,1331.666667,137
EC07,WtAverage,1327.5,128.5
EC08,6.17.15,1424,270
EC08,7.30.15,2324,192
EC08,9.1.15,1894,176
EC08,Average,1880.666667,212.6666667
EC08,WtAverage,1884,203.5
EC09,6.17.15,120,28
EC09,7.30.15,828,9
EC09,9.1.15,523,3
EC09,Average,490.3333333,13.33333333
EC09,WtAverage,498.5,10.75
EC10,6.17.15,386,263
EC10,7.30.15,2401,182
EC10,9.1.15,1558,69
EC10,Average,1448.333333,171.3333333
EC10,WtAverage,1475.75,145.75
EC11,6.17.15,145,34
EC11,7.30.15,1544,12
EC11,9.1.15,988,7
EC11,Average,892.3333333,17.66666667
EC11,WtAverage,916.25,15
EC12,6.17.15,281,131
EC12,7.30.15,1686,97
EC12,9.1.15,994,89
EC12,Average,987,105.6666667
EC12,WtAverage,988.75,101.5
EC13,6.17.15,159,77
EC13,7.30.15,509,16
EC13,9.1.15,814,15
EC13,Average,494,36
EC13,WtAverage,574,30.75
EC14,6.17.15,105,78
EC14,7.30.15,867,43
EC14,9.1.15,343,22
EC14,Average,438.3333333,47.66666667
EC14,WtAverage,414.5,41.25
EC15,6.17.15,204,51
EC15,7.30.15,2342,50
EC15,9.1.15,914,39
EC15,Average,1153.333333,46.66666667
EC15,WtAverage,1093.5,44.75
EC16,6.17.15,431,104
EC16,7.30.15,3813,90
EC16,9.1.15,2209,46
EC16,Average,2151,80
EC16,WtAverage,2165.5,71.5
EC17,6.17.15,254,145
EC17,7.30.15,2213,62
EC17,9.1.15,1415,52
EC17,Average,1294,86.33333333
EC17,WtAverage,1324.25,77.75
EC18,6.17.15,184,63
EC18,7.30.15,1187,20
EC18,9.1.15,480,18
EC18,Average,617,33.66666667
EC18,WtAverage,582.75,29.75
EC19,6.17.15,367,104
EC19,7.30.15,2410,61
EC19,9.1.15,914,35
EC19,Average,1230.333333,66.66666667
EC19,WtAverage,1151.25,58.75
EC20,6.17.15,419,288
EC20,7.30.15,1368,177
EC20,9.1.15,863,100
EC20,Average,883.3333333,188.3333333
EC20,WtAverage,878.25,166.25
