Camera-Tank#,RepeatObs,Temp (deg C),"Pred (No, Nc)",Pred Size (SL mm),Prey,Prey Size (mm),Start Date/Time,End Date/Time,Drilled / EdgeDrill / Pry,% prey flesh remaining,Recorder (initials),Comment
01-L13-1,1,14.7,No,14,M. trossulus,14,7/24/17 23:47,7/27/17 19:12,drill,2,SLM,"Feeding event occured on wall, so times may be off"
01-L13-2,1,14.9,No,9,M. trossulus,19,7/28/17 20:21,7/31/17 11:47,drill,65,SLM,
01-L13-2,2,14.6,No,9,M. trossulus,19,7/31/17 19:42,8/1/17 15:35,drill,100,SLM,"unsuccessful feeding; same whelk, different prey as above"
01-L13-3,1,16.1,No,17,B. glandula,1,8/19/17 12:25,8/19/17 20:05,pry,0,SLM,
01-L13-3,2,15.8,No,17,B. glandula,2,8/19/17 20:11,8/21/17 21:17,pry,0,SLM,
01-L13-3,3,15.2,No,17,B. glandula,2,8/21/17 21:27,8/22/17 0:32,pry,30,SLM,
01-L13-3,4,15.3,No,17,B. glandula,2,8/22/17 7:16,8/22/17 18:55,pry,0,SLM,
01-L13-3,5,15.4,No,17,B. glandula,2,8/22/17 19:05,8/23/17 7:01,pry,0,SLM,
01-L13-3,6,15.5,No,17,B. glandula,2,8/23/17 7:21,8/23/17 23:05,pry,0,SLM,
01-L13-4,1,15.4,No,18,B. glandula,2,9/1/17 10:58,9/2/17 6:55,pry,0,SLM,
01-L13-4,2,14.8,No,18,B. glandula,3,9/2/17 7:05,9/4/17 4:10,pry,0,SLM,
01-L13-5,1,15.5,No,15,B. glandula,1,9/7/17 21:48,9/8/17 7:44,pry,0,SLM,
01-L13-6,1,15.9,No,8,M. trossulus,8,9/30/17 23:53,10/3/17 17:46,drill,5,SLM,
01-L13-7,1,15.7,No,6,M. trossulus,5,10/12/17 19:27,10/14/17 6:16,drill,0,SLM,
01-L13-8,1,15.5,No,9,C. dalli,1,10/21/17 23:01,10/22/17 6:29,pry,0,SLM,
01-L13-8,2,15.6,No,9,C. dalli,2,10/22/17 6:34,10/23/17 15:42,drill,0,SLM,
01-L13-9,1,15.6,No,16,C. dalli,2,10/27/17 12:32,10/27/17 17:18,pry,3,SLM,
01-L13-9,2,15.6,No,16,C. dalli,2,10/27/17 17:19,10/27/17 23:08,pry,3,SLM,
01-L14-1,1,13.8,No,15,B. glandula,2,9/4/17 14:04,9/4/17 20:43,pry,0,SLM,
01-L14-2,1,14.6,No,15,B. glandula,4,9/7/17 3:42,9/8/17 0:15,pry,0,SLM,
01-L14-3,1,13.8,No,11,B. glandula,1,9/18/17 0:38,9/18/17 17:07,pry,0,SLM,
01-L14-3,2,14.4,No,11,B. glandula,2,9/18/17 17:13,9/20/17 1:54,drill,0,SLM,
01-L14-4,1,15.6,No,7,M. trossulus,6,9/26/17 10:58,9/29/17 4:25,drill,0,SLM,
01-L14-5,1,15.5,No,7,M. trossulus,6,9/30/17 13:21,10/2/17 15:14,drill,0,SLM,
01-R13-1,1,15.3,Nc,12,M. trossulus,9,8/21/17 13:34,8/23/17 10:17,drill,0,SLM,
01-R13-2,1,14.7,Nc,12,M. trossulus,14,9/2/17 1:12,9/4/17 3:45,drill,35,SLM,
01-R13-3,1,15,No,14,B. glandula,3,9/5/17 12:34,9/5/17 21:33,pry,0,SLM,
01-R13-4,1,15.5,No,17,B. glandula,2,9/8/17 10:40,9/8/17 15:20,pry,0,SLM,
01-R13-4,2,15.5,No,17,B. glandula,1,9/8/17 15:25,9/8/17 18:21,pry,0,SLM,
01-R13-4,3,15.5,No,17,B. glandula,1,9/8/17 18:23,9/8/17 21:51,pry,0,SLM,
01-R13-4,4,15.5,No,17,B. glandula,1,9/8/17 21:53,9/9/17 0:54,pry,0,SLM,
01-R13-4,5,15.4,No,17,B. glandula,2,9/9/17 0:57,9/9/17 4:30,pry,0,SLM,
01-R13-4,6,15.4,No,17,B. glandula,2,9/9/17 4:33,9/9/17 12:07,pry,0,SLM,
01-R13-4,7,15.4,No,17,B. glandula,2,9/9/17 12:09,9/9/17 15:47,pry,0,SLM,
